ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS
1001592,F,N,Y,0,102900.0,Pensioner,Secondary / secondary special,Married,House / apartment,-16261,365243,1,0,0,0,Laborers,1
1001593,M,N,N,0,80400.0,Pensioner,Secondary / secondary special,Married,House / apartment,-14710,365243,1,0,0,0,Cooking staff,1
1001594,M,N,N,0,232100.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-14420,-12337,1,0,0,0,Core staff,2
1001595,F,Y,Y,0,123400.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-22110,365243,1,0,1,0,Drivers,1
1001596,F,N,Y,0,236900.0,Working,Lower secondary,Single / not married,House / apartment,-11386,-1118,1,0,0,0,Sales staff,2
1001597,M,Y,Y,4,113000.0,Working,Lower secondary,Married,House / apartment,-23409,-12506,1,0,0,0,Laborers,6
1001598,M,Y,Y,0,96300.0,Pensioner,Higher education,Civil marriage,House / apartment,-21312,365243,1,0,0,0,Drivers,2
1001599,M,N,Y,1,164500.0,Working,Secondary / secondary special,Separated,House / apartment,-12315,-4748,1,0,0,0,Medicine staff,2
1001600,F,Y,N,1,128200.0,Working,Secondary / secondary special,Married,House / apartment,-21801,-2974,1,0,0,0,Other,3
1001601,M,N,Y,0,72900.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-10248,-5855,1,0,1,0,Laborers,2
1001602,M,Y,Y,0,330600.0,Commercial associate,Secondary / secondary special,Separated,House / apartment,-14535,-1302,1,0,1,0,High skill tech staff,1
1001603,M,N,Y,0,97400.0,Commercial associate,Secondary / secondary special,Widow,House / apartment,-23366,-5284,1,1,0,1,Laborers,2
1001604,M,N,Y,1,211900.0,Working,Secondary / secondary special,Married,House / apartment,-21872,-1900,1,1,0,1,Medicine staff,2
1001605,M,Y,Y,4,203000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-18010,365243,1,0,0,0,Drivers,6
1001606,F,N,Y,0,71000.0,Pensioner,Higher education,Widow,House / apartment,-18625,365243,1,0,0,0,Sales staff,2
1001607,M,Y,Y,2,80700.0,State servant,Higher education,Married,House / apartment,-22254,-12047,1,0,1,0,Other,4
1001608,F,N,N,0,114600.0,Commercial associate,Secondary / secondary special,Married,Municipal apartment,-12237,-10022,1,0,1,0,Other,1
1001609,M,Y,Y,1,86400.0,Pensioner,Higher education,Married,Rented apartment,-14198,365243,1,0,0,0,Other,3
1001610,F,Y,Y,1,315900.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-18294,365243,1,0,0,0,Medicine staff,2
1001611,F,Y,Y,0,120600.0,Working,Secondary / secondary special,Married,House / apartment,-8424,-10489,1,0,0,0,Cooking staff,2
1001612,F,Y,N,0,207900.0,Working,Secondary / secondary special,Separated,House / apartment,-22941,-10074,1,0,1,0,Medicine staff,2
1001613,F,N,Y,0,172300.0,Working,Higher education,Married,House / apartment,-8688,-1800,1,1,1,0,Sales staff,2
1001614,M,Y,Y,0,152100.0,Working,Secondary / secondary special,Single / not married,House / apartment,-10947,-11355,1,0,0,0,Accountants,2
1001615,M,Y,Y,1,136000.0,Working,Higher education,Married,House / apartment,-23648,-3349,1,0,0,1,Laborers,3
1001616,F,N,N,0,247400.0,Working,Secondary / secondary special,Married,House / apartment,-8506,-4682,1,0,0,0,Sales staff,2
1001617,F,Y,Y,1,88200.0,Working,Secondary / secondary special,Married,House / apartment,-17147,-7989,1,1,0,0,Accountants,3
1001618,F,N,Y,0,315900.0,Working,Secondary / secondary special,Widow,House / apartment,-12172,-5013,1,0,0,0,Sales staff,2
1001619,F,N,Y,2,70000.0,Working,Higher education,Married,Municipal apartment,-21383,-9200,1,1,0,0,Cleaning staff,4
1001620,F,N,Y,2,197000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-15791,365243,1,0,0,0,Accountants,4
1001621,F,N,Y,2,66000.0,Pensioner,Higher education,Civil marriage,House / apartment,-12688,365243,1,0,0,0,Sales staff,3
1001622,M,N,Y,0,113800.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-18508,-13249,1,0,0,0,Sales staff,2
1001623,F,Y,N,0,139600.0,Working,Secondary / secondary special,Single / not married,House / apartment,-20891,-1102,1,1,1,0,Core staff,1
1001624,F,N,Y,2,104500.0,Working,Higher education,Married,House / apartment,-23681,-433,1,0,0,0,Drivers,4
1001625,M,N,Y,0,121700.0,Working,Secondary / secondary special,Single / not married,House / apartment,-22246,-11908,1,0,1,0,Cleaning staff,2
1001626,F,N,Y,0,66600.0,Working,Secondary / secondary special,Married,House / apartment,-20561,-8668,1,1,0,0,Laborers,2
1001627,M,N,Y,0,81300.0,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,-9285,365243,1,0,0,0,Cleaning staff,2
1001628,F,N,Y,1,171000.0,Working,Higher education,Single / not married,House / apartment,-17465,-12527,1,0,1,0,Other,2
1001629,M,N,N,1,135200.0,Pensioner,Higher education,Married,Rented apartment,-19352,365243,1,0,0,0,Managers,3
1001630,F,N,N,1,94300.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-11046,-6544,1,0,1,0,Other,2
1001631,F,N,Y,0,258400.0,Working,Higher education,Married,House / apartment,-14611,-7936,1,0,0,0,Other,1
1001632,M,N,Y,0,72400.0,Commercial associate,Higher education,Separated,With parents,-20137,-3213,1,0,0,0,Cleaning staff,2
1001633,F,Y,Y,2,111200.0,Working,Secondary / secondary special,Married,House / apartment,-18728,-3310,1,1,0,0,Managers,3
1001634,F,N,N,0,103500.0,Working,Secondary / secondary special,Married,House / apartment,-15465,-7734,1,0,0,1,Cooking staff,1
1001635,F,N,N,0,181200.0,Commercial associate,Higher education,Married,House / apartment,-9093,-3563,1,0,1,0,Sales staff,2
1001636,M,Y,N,1,136500.0,State servant,Higher education,Widow,House / apartment,-13401,-12816,1,0,0,0,Drivers,2
1001637,M,Y,N,0,126200.0,Pensioner,Secondary / secondary special,Married,House / apartment,-17202,365243,1,0,1,1,Managers,1
1001638,M,N,Y,0,53000.0,State servant,Higher education,Married,House / apartment,-12958,-383,1,0,1,0,Medicine staff,2
1001639,F,Y,Y,0,205400.0,Working,Secondary / secondary special,Single / not married,House / apartment,-19113,-9058,1,0,1,1,Cleaning staff,2
1001640,F,Y,N,0,119500.0,Working,Higher education,Widow,House / apartment,-7983,-862,1,0,0,1,Medicine staff,1
1001641,F,N,Y,0,141200.0,Working,Secondary / secondary special,Single / not married,With parents,-7322,-8459,1,0,0,0,Cooking staff,2
1001642,F,Y,Y,2,91600.0,Working,Secondary / secondary special,Married,House / apartment,-17980,-13945,1,0,1,0,Laborers,4
1001643,F,N,Y,0,84700.0,Working,Secondary / secondary special,Married,House / apartment,-12082,-12140,1,0,0,0,Medicine staff,2
1001644,F,Y,Y,0,282000.0,Commercial associate,Secondary / secondary special,Married,With parents,-18659,-9537,1,0,0,0,Cleaning staff,2
1001645,M,Y,Y,1,54900.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-20049,-14325,1,1,0,0,Security staff,3
1001646,F,N,Y,3,78700.0,State servant,Higher education,Married,With parents,-20216,-5518,1,0,0,0,Managers,5
1001647,M,N,N,0,279400.0,State servant,Higher education,Single / not married,Municipal apartment,-8051,-3489,1,0,0,0,Cleaning staff,2
1001648,F,Y,Y,2,183600.0,Working,Higher education,Separated,Office apartment,-14895,-11812,1,0,1,0,Medicine staff,4
1001649,F,Y,Y,1,113200.0,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,-10726,365243,1,0,0,0,Other,3
1001650,F,N,N,0,248500.0,Working,Higher education,Married,House / apartment,-15799,-989,1,0,1,0,Security staff,2
1001651,M,Y,Y,0,166600.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-22056,-6989,1,0,0,1,Core staff,2
1001652,M,Y,Y,0,149700.0,Pensioner,Secondary / secondary special,Married,House / apartment,-8011,365243,1,0,0,0,Cleaning staff,2
1001653,M,Y,Y,1,149200.0,Working,Secondary / secondary special,Married,House / apartment,-14621,-14595,1,0,1,0,Security staff,3
1001654,M,N,Y,0,168200.0,Pensioner,Secondary / secondary special,Married,House / apartment,-19634,365243,1,1,1,0,High skill tech staff,2
1001655,M,N,Y,0,171600.0,Commercial associate,Secondary / secondary special,Married,With parents,-12001,-13654,1,0,0,0,Security staff,1
1001656,F,N,N,1,399500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-8206,365243,1,0,0,0,Cleaning staff,3
1001657,F,N,Y,0,120900.0,Student,Academic degree,Married,House / apartment,-17910,-12816,1,1,1,0,Cleaning staff,2
1001658,M,N,Y,2,122800.0,Commercial associate,Higher education,Married,House / apartment,-20379,-12181,1,0,0,0,Medicine staff,3
1001659,M,N,Y,2,71800.0,Working,Higher education,Married,House / apartment,-21631,-7269,1,0,0,1,Managers,3
1001660,F,N,Y,0,129800.0,Working,Secondary / secondary special,Married,House / apartment,-13688,-11481,1,0,0,0,Cleaning staff,2
1001661,F,Y,N,3,338200.0,Working,Higher education,Separated,House / apartment,-10965,-6023,1,0,1,0,Accountants,5
1001662,F,N,Y,0,218000.0,Working,Secondary / secondary special,Widow,House / apartment,-12954,-10005,1,0,0,1,Sales staff,2
1001663,F,N,Y,0,101500.0,Pensioner,Higher education,Widow,House / apartment,-10225,365243,1,0,0,0,Laborers,2
1001664,F,N,N,0,135300.0,Working,Secondary / secondary special,Separated,House / apartment,-8036,-12012,1,0,0,0,Managers,2
1001665,F,Y,Y,1,69700.0,State servant,Secondary / secondary special,Widow,House / apartment,-15629,-9109,1,0,1,0,Managers,3
1001666,F,Y,N,1,82100.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-9176,-11367,1,0,0,0,Drivers,3
1001667,M,N,Y,0,143600.0,Working,Higher education,Widow,House / apartment,-14156,-13444,1,0,0,0,Managers,2
1001668,F,N,Y,0,104100.0,Working,Secondary / secondary special,Single / not married,Municipal apartment,-11258,-2568,1,1,0,0,Security staff,2
1001669,M,N,N,0,79000.0,Working,Higher education,Civil marriage,Office apartment,-13980,-7227,1,0,0,1,Drivers,2
1001670,F,Y,N,2,170200.0,Working,Incomplete higher,Married,House / apartment,-7516,-12563,1,0,0,0,Drivers,4
1001671,M,N,Y,2,127900.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-7686,-8021,1,0,1,0,Medicine staff,4
1001672,F,N,Y,1,60900.0,Working,Secondary / secondary special,Widow,Rented apartment,-12553,-12410,1,0,1,0,Accountants,2
1001673,F,N,Y,1,47200.0,Commercial associate,Higher education,Married,House / apartment,-12734,-5921,1,1,1,0,Other,3
1001674,F,N,Y,1,100200.0,Working,Secondary / secondary special,Married,Rented apartment,-8222,-6051,1,0,0,0,Core staff,3
1001675,F,N,N,0,60200.0,Pensioner,Incomplete higher,Married,House / apartment,-20182,365243,1,1,0,0,Laborers,1
1001676,M,N,Y,0,52300.0,Pensioner,Incomplete higher,Single / not married,With parents,-18379,365243,1,0,0,0,Laborers,2
1001677,M,N,Y,1,234300.0,Working,Secondary / secondary special,Single / not married,Municipal apartment,-21354,-11900,1,0,1,0,Laborers,3
1001678,M,N,N,0,126900.0,Working,Secondary / secondary special,Married,With parents,-19029,-3966,1,1,1,0,Cooking staff,2
1001679,M,Y,Y,0,116700.0,Commercial associate,Lower secondary,Married,House / apartment,-20298,-9798,1,0,1,0,High skill tech staff,2
1001680,F,Y,Y,3,121300.0,State servant,Lower secondary,Separated,House / apartment,-10564,-7845,1,0,0,0,Drivers,5
1001681,M,N,N,2,75400.0,Working,Secondary / secondary special,Civil marriage,With parents,-14125,-11202,1,0,0,1,Security staff,4
1001682,F,N,N,0,163700.0,Working,Secondary / secondary special,Married,With parents,-13691,-14367,1,0,1,0,High skill tech staff,2
1001683,F,N,N,1,124800.0,Working,Higher education,Civil marriage,House / apartment,-10757,-12461,1,0,0,0,Cooking staff,3
1001684,F,N,Y,3,91200.0,Working,Secondary / secondary special,Married,House / apartment,-16976,-1886,1,1,0,0,Cooking staff,5
1001685,M,Y,N,0,98300.0,Working,Incomplete higher,Married,House / apartment,-22929,-9708,1,0,0,0,Other,2
1001686,F,N,Y,0,72100.0,Working,Higher education,Separated,House / apartment,-20517,-7704,1,0,1,0,Other,1
1001687,F,N,Y,0,108800.0,Commercial associate,Higher education,Separated,House / apartment,-13232,-2879,1,0,0,0,Drivers,2
1001688,F,Y,N,0,118200.0,Working,Secondary / secondary special,Married,House / apartment,-17465,-160,1,0,0,0,Accountants,2
1001689,F,Y,Y,2,107400.0,Working,Higher education,Married,Municipal apartment,-18561,-11054,1,0,0,0,Drivers,3
1001690,F,N,N,0,137000.0,Working,Secondary / secondary special,Married,House / apartment,-10266,-8516,1,0,0,0,Laborers,2
1001691,M,Y,Y,0,128100.0,Pensioner,Secondary / secondary special,Separated,House / apartment,-13771,365243,1,0,0,0,Security staff,2
1001692,F,N,Y,0,149500.0,Working,Secondary / secondary special,Separated,Municipal apartment,-21146,-8476,1,0,1,0,Managers,2
1001693,M,Y,N,0,213500.0,State servant,Secondary / secondary special,Married,House / apartment,-17475,-12474,1,0,0,0,Drivers,2
1001694,M,N,Y,0,179200.0,Commercial associate,Higher education,Married,House / apartment,-17339,-2042,1,0,1,0,Managers,1
1001695,M,N,Y,1,214800.0,Working,Higher education,Married,Rented apartment,-17787,-11801,1,1,0,0,High skill tech staff,3
1001696,M,N,Y,0,87200.0,Working,Secondary / secondary special,Separated,House / apartment,-12221,-13886,1,0,0,0,Security staff,1
1001697,M,N,N,1,103300.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-12915,-7609,1,0,0,0,Laborers,3
1001698,M,N,Y,1,184800.0,Commercial associate,Secondary / secondary special,Married,With parents,-11267,-84,1,0,0,0,Managers,3
1001699,F,Y,Y,0,186400.0,Commercial associate,Secondary / secondary special,Single / not married,With parents,-18959,-737,1,0,0,0,Cooking staff,2
1001700,F,Y,Y,1,94900.0,Pensioner,Higher education,Married,Municipal apartment,-18508,365243,1,0,0,0,Sales staff,3
1001701,F,N,N,1,180900.0,Pensioner,Secondary / secondary special,Married,House / apartment,-9828,365243,1,0,1,0,Sales staff,3
1001702,F,N,N,0,83100.0,Working,Incomplete higher,Married,House / apartment,-14755,-13626,1,0,0,1,Other,1
1001703,M,N,N,0,169500.0,Pensioner,Higher education,Single / not married,House / apartment,-11588,365243,1,0,0,1,Medicine staff,2
1001704,F,Y,Y,1,131500.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-15991,-6382,1,0,0,0,Medicine staff,3
1001705,F,Y,Y,3,66700.0,Working,Secondary / secondary special,Married,House / apartment,-19739,-11310,1,0,0,0,Accountants,5
1001706,M,Y,Y,0,107300.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-16160,-13589,1,0,0,0,Cooking staff,2
1001707,F,N,Y,0,396800.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-21131,-1487,1,0,1,0,Other,2
1001708,M,N,Y,0,147500.0,Working,Secondary / secondary special,Married,House / apartment,-17808,-3436,1,0,0,0,Drivers,2
1001709,F,N,N,0,420900.0,Working,Secondary / secondary special,Married,House / apartment,-9338,-703,1,0,0,1,Core staff,2
1001710,F,N,N,1,64700.0,Working,Lower secondary,Married,With parents,-21792,-4269,1,0,0,1,Drivers,2
1001711,M,Y,Y,0,194000.0,Working,Secondary / secondary special,Widow,House / apartment,-7616,-7098,1,0,0,0,Managers,2
1001712,M,Y,Y,0,37500.0,Working,Higher education,Civil marriage,House / apartment,-9947,-724,1,0,0,0,Medicine staff,1
1001713,F,Y,N,0,133200.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-16478,-90,1,0,0,0,High skill tech staff,2
1001714,F,N,Y,0,182700.0,Working,Secondary / secondary special,Single / not married,House / apartment,-20854,-1769,1,0,1,0,Laborers,2
1001715,M,Y,Y,0,202600.0,Working,Secondary / secondary special,Separated,House / apartment,-12957,-676,1,1,0,0,Drivers,1
1001716,F,N,Y,0,89400.0,State servant,Secondary / secondary special,Single / not married,House / apartment,-21719,-9538,1,0,0,0,Medicine staff,2
1001717,M,Y,Y,0,224000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-20746,-10419,1,1,1,0,Laborers,2
1001718,F,N,N,2,102000.0,Working,Higher education,Married,House / apartment,-13249,-6570,1,0,0,0,Laborers,3
1001719,F,N,Y,2,122800.0,Working,Higher education,Married,Office apartment,-11773,-4204,1,0,0,0,Other,4
1001720,M,N,Y,0,107300.0,Pensioner,Higher education,Married,House / apartment,-9465,365243,1,0,0,0,Other,1
1001721,M,N,Y,0,75500.0,Working,Higher education,Separated,House / apartment,-23437,-4796,1,0,0,0,Sales staff,2
1001722,M,N,N,0,292100.0,Working,Incomplete higher,Married,House / apartment,-11170,-2374,1,0,0,0,Laborers,2
1001723,M,Y,Y,0,136500.0,Working,Higher education,Married,House / apartment,-19258,-9948,1,0,0,0,High skill tech staff,2
1001724,M,N,Y,0,229500.0,Student,Secondary / secondary special,Single / not married,House / apartment,-12509,-3522,1,0,0,0,Drivers,2
1001725,F,N,N,0,224700.0,Commercial associate,Lower secondary,Married,Municipal apartment,-10140,-4780,1,0,1,0,Other,2
1001726,M,Y,N,1,82100.0,Working,Incomplete higher,Widow,House / apartment,-15159,-8872,1,0,0,0,Drivers,3
1001727,F,Y,N,0,244800.0,Working,Higher education,Married,House / apartment,-12437,-14198,1,0,1,0,Sales staff,1
1001728,F,N,N,0,171400.0,Working,Secondary / secondary special,Single / not married,With parents,-7801,-6067,1,0,0,0,Core staff,2
1001729,F,N,Y,1,79200.0,Working,Secondary / secondary special,Single / not married,House / apartment,-18534,-1291,1,0,0,0,Laborers,2
1001730,F,N,Y,1,166800.0,Pensioner,Higher education,Widow,House / apartment,-13181,365243,1,0,0,0,Core staff,2
1001731,M,N,Y,0,79900.0,Working,Incomplete higher,Married,House / apartment,-21080,-2685,1,0,1,0,Cooking staff,1
1001732,F,Y,Y,0,297500.0,Commercial associate,Higher education,Separated,Rented apartment,-23161,-9974,1,0,1,0,Security staff,1
1001733,F,Y,N,0,200200.0,Working,Higher education,Married,House / apartment,-15821,-10743,1,0,0,0,Cooking staff,1
1001734,F,N,N,0,128600.0,Commercial associate,Secondary / secondary special,Married,Co-op apartment,-23441,-2319,1,0,1,0,Drivers,2
1001735,M,Y,N,0,250800.0,Working,Secondary / secondary special,Married,House / apartment,-16956,-4354,1,0,1,1,Other,1
1001736,F,N,Y,0,60400.0,Working,Higher education,Single / not married,House / apartment,-13060,-7066,1,0,1,0,Cleaning staff,1
1001737,F,N,N,0,91600.0,Commercial associate,Secondary / secondary special,Married,Municipal apartment,-22696,-8429,1,0,1,1,Medicine staff,1
1001738,M,Y,N,1,117500.0,Working,Higher education,Married,House / apartment,-10645,-12694,1,1,0,0,Sales staff,3
1001739,M,N,Y,1,407500.0,Commercial associate,Higher education,Married,House / apartment,-12095,-6079,1,0,0,0,Drivers,3
1001740,M,Y,N,0,78000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-20129,365243,1,0,1,0,Other,2
1001741,F,N,Y,0,56700.0,Working,Secondary / secondary special,Married,House / apartment,-16432,-1626,1,1,0,0,Accountants,2
1001742,F,Y,Y,0,64700.0,State servant,Higher education,Married,House / apartment,-15079,-13750,1,1,1,0,Other,2
1001743,F,N,N,0,209600.0,Working,Secondary / secondary special,Separated,House / apartment,-21144,-1253,1,0,0,0,Core staff,1
1001744,M,Y,N,0,99000.0,Working,Secondary / secondary special,Married,House / apartment,-10809,-10542,1,0,0,0,Sales staff,2
1001745,M,N,Y,2,123100.0,Commercial associate,Higher education,Married,Rented apartment,-23701,-9118,1,0,0,1,Sales staff,4
1001746,F,N,Y,1,195100.0,Commercial associate,Higher education,Single / not married,House / apartment,-21797,-1998,1,0,0,0,Cleaning staff,3
1001747,M,Y,N,2,123100.0,Working,Higher education,Married,House / apartment,-20460,-9634,1,0,1,1,Security staff,4
1001748,M,N,N,1,147600.0,Pensioner,Secondary / secondary special,Married,House / apartment,-23674,365243,1,0,0,0,Cleaning staff,2
1001749,F,Y,N,3,174100.0,State servant,Secondary / secondary special,Married,Municipal apartment,-13181,-13207,1,0,0,0,Laborers,5
1001750,M,N,Y,1,107400.0,Working,Higher education,Separated,House / apartment,-20626,-2401,1,0,0,0,Security staff,3
1001751,F,Y,Y,3,122600.0,State servant,Higher education,Widow,House / apartment,-16190,-2749,1,0,1,0,Laborers,5
1001752,M,N,Y,0,150400.0,Commercial associate,Higher education,Married,Rented apartment,-18618,-7296,1,0,0,0,Other,2
1001753,M,Y,Y,0,205700.0,State servant,Secondary / secondary special,Married,House / apartment,-21549,-11027,1,0,0,0,Cooking staff,1
1001754,M,N,Y,1,89700.0,Working,Secondary / secondary special,Married,House / apartment,-17260,-5061,1,0,0,1,Accountants,3
1001755,F,Y,Y,4,29400.0,Pensioner,Secondary / secondary special,Married,House / apartment,-18719,365243,1,0,0,0,Other,6
1001756,F,N,Y,0,187200.0,Working,Secondary / secondary special,Married,House / apartment,-16381,-11967,1,1,0,0,Cleaning staff,1
1001757,F,Y,Y,0,211900.0,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,-15882,365243,1,0,1,0,Managers,1
1001758,F,N,N,0,147300.0,Commercial associate,Academic degree,Married,Rented apartment,-13582,-4933,1,0,0,1,Cooking staff,2
1001759,M,N,Y,1,152400.0,Working,Secondary / secondary special,Single / not married,House / apartment,-21285,-13233,1,0,0,0,Medicine staff,3
1001760,F,Y,Y,0,100500.0,Working,Secondary / secondary special,Married,House / apartment,-9472,-9470,1,0,1,0,Laborers,2
1001761,F,N,Y,1,171100.0,Pensioner,Secondary / secondary special,Separated,House / apartment,-19868,365243,1,0,0,0,Laborers,2
1001762,F,Y,Y,3,204100.0,Commercial associate,Higher education,Married,House / apartment,-15219,-480,1,0,0,0,High skill tech staff,5
1001763,M,Y,Y,2,137100.0,Working,Incomplete higher,Single / not married,House / apartment,-10411,-13932,1,0,0,0,Drivers,3
1001764,F,N,N,0,463100.0,Working,Higher education,Single / not married,Municipal apartment,-21216,-1971,1,0,0,0,Drivers,1
1001765,M,N,N,0,61000.0,Pensioner,Higher education,Single / not married,Rented apartment,-9781,365243,1,1,0,0,Core staff,2
1001766,M,N,Y,0,144600.0,Working,Higher education,Married,House / apartment,-9358,-8299,1,0,0,0,Core staff,1
1001767,F,Y,Y,0,74100.0,Working,Incomplete higher,Married,House / apartment,-13119,-5820,1,1,1,0,Managers,2
1001768,F,Y,Y,0,206900.0,State servant,Secondary / secondary special,Single / not married,House / apartment,-12665,-3913,1,0,0,0,Core staff,1
1001769,M,Y,N,1,60400.0,Working,Secondary / secondary special,Civil marriage,Rented apartment,-13575,-13279,1,0,0,0,Managers,3
1001770,M,N,Y,0,68400.0,Working,Secondary / secondary special,Married,House / apartment,-13927,-10203,1,1,0,0,Drivers,1
1001771,F,N,Y,2,97100.0,Working,Secondary / secondary special,Married,House / apartment,-7714,-10268,1,0,0,0,Managers,4
1001772,F,N,N,3,152200.0,State servant,Higher education,Married,House / apartment,-22457,-2162,1,0,0,0,High skill tech staff,5
1001773,F,Y,N,0,98900.0,Working,Secondary / secondary special,Single / not married,Co-op apartment,-11963,-546,1,0,1,0,Other,2
1001774,F,Y,N,4,99400.0,Commercial associate,Higher education,Civil marriage,House / apartment,-18401,-11054,1,1,0,0,Sales staff,5
1001775,F,Y,N,1,121700.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-9702,365243,1,1,1,0,Core staff,3
1001776,M,Y,N,0,118100.0,Working,Secondary / secondary special,Married,House / apartment,-8879,-6815,1,0,0,0,Laborers,2
1001777,F,Y,Y,0,280300.0,Pensioner,Secondary / secondary special,Married,House / apartment,-17236,365243,1,0,0,0,Drivers,2
1001778,F,N,Y,0,187800.0,Working,Higher education,Civil marriage,House / apartment,-20598,-3885,1,1,0,0,Managers,2
1001779,M,N,N,0,113300.0,Commercial associate,Higher education,Married,House / apartment,-14471,-7715,1,0,0,0,Security staff,2
1001780,F,N,N,1,380200.0,Working,Lower secondary,Married,House / apartment,-7394,-2118,1,0,1,0,Cooking staff,2
1001781,M,N,N,0,170400.0,Commercial associate,Higher education,Married,House / apartment,-19284,-8585,1,1,0,0,Laborers,2
1001782,F,Y,Y,1,82100.0,Working,Secondary / secondary special,Married,House / apartment,-13459,-10029,1,0,0,0,Security staff,2
1001783,F,N,Y,0,151500.0,Working,Secondary / secondary special,Civil marriage,Municipal apartment,-21610,-10848,1,0,1,0,Medicine staff,1
1001784,F,Y,Y,0,174200.0,State servant,Higher education,Married,Office apartment,-12530,-4633,1,0,0,0,Cooking staff,1
1001785,F,N,Y,1,94500.0,Working,Higher education,Married,With parents,-14738,-13487,1,0,0,0,Other,3
1001786,F,N,Y,1,78700.0,Pensioner,Secondary / secondary special,Married,With parents,-16366,365243,1,1,0,0,Other,3
1001787,F,Y,N,0,139100.0,Working,Secondary / secondary special,Single / not married,House / apartment,-18210,-6156,1,0,0,0,Cleaning staff,1
1001788,F,N,Y,0,111300.0,Working,Higher education,Married,House / apartment,-19681,-4765,1,0,1,0,Managers,1
1001789,M,Y,N,2,279200.0,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,-15827,365243,1,0,1,0,Cleaning staff,4
1001790,F,N,N,1,193000.0,Working,Incomplete higher,Married,House / apartment,-12805,-3525,1,0,1,0,Core staff,3
1001791,M,N,Y,0,96700.0,Pensioner,Higher education,Married,House / apartment,-13855,365243,1,0,0,0,Sales staff,1
1001792,F,Y,Y,0,164900.0,Working,Secondary / secondary special,Married,House / apartment,-22955,-6337,1,0,0,0,Cooking staff,1
1001793,F,N,Y,0,251100.0,Working,Secondary / secondary special,Widow,House / apartment,-15810,-12412,1,0,1,0,Security staff,1
1001794,F,N,N,0,66400.0,Commercial associate,Higher education,Married,House / apartment,-9154,-12806,1,0,1,0,Cooking staff,1
1001795,M,N,N,1,79900.0,Working,Higher education,Single / not married,With parents,-17300,-8503,1,0,0,0,Core staff,2
1001796,M,Y,N,2,132500.0,Working,Higher education,Separated,Rented apartment,-8743,-5405,1,1,0,1,Medicine staff,3
1001797,F,N,N,1,135600.0,Pensioner,Higher education,Married,House / apartment,-11065,365243,1,0,0,0,Cooking staff,3
1001798,M,Y,Y,0,129800.0,Working,Higher education,Single / not married,House / apartment,-21660,-4825,1,0,1,0,Laborers,2
1001799,M,Y,N,2,114100.0,Working,Secondary / secondary special,Married,House / apartment,-13585,-5336,1,0,0,0,Managers,3
1001800,M,Y,N,0,113200.0,Pensioner,Incomplete higher,Married,Office apartment,-8447,365243,1,0,0,0,Sales staff,1
1001801,F,Y,N,3,161500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-11420,365243,1,0,0,0,Cooking staff,5
1001802,F,Y,Y,0,234900.0,Working,Secondary / secondary special,Civil marriage,Municipal apartment,-11058,-517,1,0,0,0,Core staff,1
1001803,M,N,N,0,104800.0,Commercial associate,Secondary / secondary special,Married,Rented apartment,-21042,-8455,1,0,0,0,Sales staff,2
1001804,M,Y,Y,1,451000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-20843,-4936,1,0,0,0,Sales staff,3
1001805,M,Y,N,0,355200.0,Commercial associate,Secondary / secondary special,Married,With parents,-8980,-11903,1,0,1,0,Security staff,2
1001806,F,Y,Y,2,259000.0,Working,Higher education,Married,House / apartment,-23004,-12874,1,1,0,0,Sales staff,3
1001807,F,N,Y,1,181900.0,Student,Secondary / secondary special,Separated,Rented apartment,-11107,-8407,1,0,1,0,Security staff,3
